Time (Sec);S11;S12;S14;S26;S3;S38;S4;S40;S41;S42;S46;S47;S48;S5;S8;
0.0;10000.0;9999.9999;9999.9999;9999.9999;10000.0;9999.9999;10000.0;9999.9999;9999.9999;9999.9999;9999.9999;9999.9999;9999.9999;9999.9999;9999.9999;
1.0;9999.384000000002;9999.911900000001;9999.5599;9999.5599;9999.384000000002;9999.911900000001;9999.824;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
2.0;9999.296000000002;9999.911900000001;9999.5599;9999.5599;9999.296000000002;9999.911900000001;9999.648000000001;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
3.0;9999.208000000002;9999.911900000001;9999.5599;9999.5599;9999.208000000002;9999.911900000001;9999.472000000002;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
3.0052658457128274;9999.208000000002;9999.911900000001;9999.5599;9999.5599;9999.208000000002;9999.911900000001;9999.472000000002;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
4.0;9999.120000000003;9999.911900000001;9999.5599;9999.5599;9999.120000000003;9999.911900000001;9999.296000000002;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
4.999999999999999;9999.032000000003;9999.911900000001;9999.5599;9999.5599;9999.032000000003;9999.911900000001;9999.120000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
5.0051989900916105;9999.032000000003;9999.911900000001;9999.5599;9999.5599;9999.032000000003;9999.911900000001;9999.120000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
5.999999999999999;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
7.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
8.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
9.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
10.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
11.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
12.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
13.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
14.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
15.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
16.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
17.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
18.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
19.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
20.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
21.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
22.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
23.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
24.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
25.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
26.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
27.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
28.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
29.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
29.998357049988687;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.911800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
29.998357049988687;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;
29.99974764478535;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.911800000002;
29.99974764478535;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911900000001;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
29.999845129295487;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.911800000002;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
29.999845129295487;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.823800000002;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
30.0;9998.944000000003;9999.911900000001;9999.5599;9999.5599;9998.944000000003;9999.823800000002;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
30.00009148043261;9998.944000000003;9999.911800000002;9999.5599;9999.5599;9998.944000000003;9999.823800000002;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
30.00009148043261;9998.944000000003;9999.823800000002;9999.5599;9999.5599;9998.944000000003;9999.823800000002;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
30.003673049988688;9998.856000000003;9999.823800000002;9999.5599;9999.5599;9998.944000000003;9999.823800000002;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
30.003673049988688;9998.768000000004;9999.823800000002;9999.5599;9999.5599;9998.944000000003;9999.823800000002;9998.944000000003;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
31.0;9998.592000000004;9999.823800000002;9999.5599;9999.5599;9998.768000000004;9999.823800000002;9998.768000000004;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
31.003639622178078;9998.592000000004;9999.823800000002;9999.5599;9999.5599;9998.768000000004;9999.823800000002;9998.768000000004;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
32.0;9998.504000000004;9999.823800000002;9999.5599;9999.5599;9998.768000000004;9999.823800000002;9998.680000000004;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
33.0;9998.416000000005;9999.823800000002;9999.5599;9999.5599;9998.768000000004;9999.823800000002;9998.592000000004;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
33.003572766556864;9998.416000000005;9999.823800000002;9999.5599;9999.5599;9998.768000000004;9999.823800000002;9998.592000000004;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
34.0;9998.416000000005;9999.823800000002;9999.5599;9999.5599;9998.768000000004;9999.823800000002;9998.592000000004;9999.823800000002;9999.911900000001;9999.5599;9999.911900000001;9999.911900000001;9999.5599;9999.911900000001;9999.823800000002;
